NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S
 09024004;ASTON;42.724167;1.691000;1781;20230405;0.0;1;-4.5;1;102;9;5.3;1;1509;9;0.8;1;0.4;1;9.8;1;;;;;682;9;1.9;1;;;4.0;1;310;1;1317;9;8.6;1;280;1;1317;9;;;;;;;7.5;9;;;1317;9
 09024004;ASTON;42.724167;1.691000;1781;20230406;0.0;1;-1.8;1;2221;9;6.3;1;1219;9;2.3;1;2.3;1;8.1;1;;;;;365;9;1.4;1;;;3.5;1;310;1;1058;9;6.6;1;320;1;1532;9;;;;;;;6.0;9;;;1532;9
 09024004;ASTON;42.724167;1.691000;1781;20230407;0.0;1;-1.0;1;539;9;9.7;1;1245;9;4.2;1;4.4;1;10.7;1;;;;;230;9;1.3;1;;;3.8;1;320;1;1215;9;7.9;1;300;1;1548;9;;;;;;;7.3;9;;;1548;9
 09024004;ASTON;42.724167;1.691000;1781;20230408;0.0;1;1.1;1;2209;9;8.7;1;1536;9;5.3;1;4.9;1;7.6;1;;;;;0;9;1.7;1;;;3.7;1;340;1;1245;9;10.3;1;340;1;1231;9;;;;;;;9.5;9;;;1231;9
 09024004;ASTON;42.724167;1.691000;1781;20230409;0.0;1;2.0;1;426;9;12.2;1;1318;9;7.3;1;7.1;1;10.2;1;;;;;0;9;2.2;1;;;5.2;1;320;1;1404;9;10.6;1;320;1;1320;9;;;;;;;9.4;9;;;1247;9
 09024004;ASTON;42.724167;1.691000;1781;20230410;0.0;1;5.0;1;247;9;11.4;1;1248;9;7.3;1;8.2;1;6.4;1;;;;;0;9;1.5;1;;;4.0;1;330;1;1446;9;8.0;1;310;1;1443;9;;;;;;;7.4;9;;;1443;9
 09024004;ASTON;42.724167;1.691000;1781;20230411;0.0;1;2.4;1;538;9;12.4;1;1539;9;6.7;1;7.4;1;10.0;1;;;;;0;9;1.5;1;;;4.0;1;260;1;344;9;7.4;1;250;1;344;9;;;;;;;6.8;9;;;344;9
 09024004;ASTON;42.724167;1.691000;1781;20230412;3.2;1;-0.7;1;1731;9;9.4;1;603;9;3.7;1;4.4;1;10.1;1;;;;;517;9;2.7;1;;;5.2;1;240;9;2209;9;11.5;1;230;9;2204;9;;;;;;;10.6;9;;;2204;9
 09024004;ASTON;42.724167;1.691000;1781;20230413;4.0;1;-4.5;1;507;9;-0.4;1;1309;9;-2.9;1;-2.5;1;4.1;1;;;;;1440;9;3.6;1;;;7.8;1;250;9;2059;9;17.6;1;230;1;1831;9;;;;;;;15.1;9;;;1831;9
 09024004;ASTON;42.724167;1.691000;1781;20230414;8.0;1;-3.0;1;1836;9;6.2;1;1426;9;0.9;1;1.6;1;9.2;1;;;;;419;9;4.3;1;;;7.8;1;240;1;1123;9;21.4;1;240;1;1650;9;;;;;;;17.7;9;;;1650;9
 09024004;ASTON;42.724167;1.691000;1781;20230415;0.4;1;-0.5;1;1524;9;3.6;1;1232;9;0.1;1;1.6;1;4.1;1;;;;;504;9;5.0;1;;;7.6;1;250;1;211;9;22.7;1;320;1;812;9;;;;;;;19.8;9;;;812;9
 09024004;ASTON;42.724167;1.691000;1781;20230416;0.4;1;-2.5;1;521;9;4.5;1;1413;9;0.2;1;1.0;1;7.0;1;;;;;726;9;2.4;1;;;4.6;1;320;1;1423;9;10.3;1;360;1;1328;9;;;;;;;9.1;9;;;1328;9
 09024004;ASTON;42.724167;1.691000;1781;20230417;0.2;1;-2.0;1;245;9;6.5;1;1210;9;1.7;1;2.3;1;8.5;1;;;;;381;9;2.5;1;;;5.4;1;320;1;1329;9;9.8;1;360;1;1322;9;;;;;;;8.9;9;;;1322;9
 09024004;ASTON;42.724167;1.691000;1781;20230418;0.2;1;-0.4;1;230;9;4.9;1;1210;9;2.0;1;2.3;1;5.3;1;;;;;348;9;1.8;1;;;4.3;1;190;9;2319;9;8.0;1;200;9;2241;9;;;;;;;7.3;9;;;2241;9
 09024004;ASTON;42.724167;1.691000;1781;20230419;0.0;1;0.3;1;2058;9;11.4;1;1515;9;6.7;1;5.9;1;11.1;1;;;;;0;9;2.0;1;;;4.6;1;190;1;17;9;8.9;1;340;1;1645;9;;;;;;;8.3;9;;;11;9
 09024004;ASTON;42.724167;1.691000;1781;20230420;0.0;1;3.6;1;2101;9;12.5;1;1340;9;7.6;1;8.1;1;8.9;1;;;;;0;9;1.8;1;;;4.5;1;320;1;1350;9;8.9;1;330;1;1343;9;;;;;;;8.2;9;;;1343;9
 09024004;ASTON;42.724167;1.691000;1781;20230421;1.8;1;3.7;1;2318;9;16.0;1;1416;9;11.0;1;9.9;1;12.3;1;;;;;0;9;3.7;1;;;11.2;1;200;1;2317;1;24.2;1;220;1;2315;9;;;;;;;;;;;;
 09024004;ASTON;42.724167;1.691000;1781;20230422;5.6;1;5.0;1;1744;9;8.4;1;1452;9;6.0;1;6.7;1;3.4;1;;;;;0;9;3.2;1;;;8.8;1;200;1;45;9;16.7;1;220;1;39;9;;;;;;;14.3;9;;;39;9
 09024004;ASTON;42.724167;1.691000;1781;20230423;7.0;1;1.4;1;2307;9;10.7;1;1105;9;5.3;1;6.1;1;9.3;1;;;;;0;9;2.3;1;;;6.2;1;260;9;2358;9;12.8;1;270;1;1728;9;;;;;;;11.4;9;;;1728;9
 09024004;ASTON;42.724167;1.691000;1781;20230424;2.6;1;0.9;1;447;9;7.9;1;1324;9;5.1;1;4.4;1;7.0;1;;;;;0;9;2.2;1;;;7.2;1;250;1;100;9;15.0;1;250;1;59;9;;;;;;;14.0;9;;;59;9
 09024004;ASTON;42.724167;1.691000;1781;20230425;4.2;1;5.4;1;2357;9;10.7;1;1402;9;7.2;1;8.1;1;5.3;1;;;;;0;9;4.3;1;;;7.2;1;260;1;200;9;13.9;1;240;1;1013;9;;;;;;;12.4;9;;;1013;9
 09024004;ASTON;42.724167;1.691000;1781;20230426;1.6;1;6.6;1;31;9;13.7;1;1109;9;9.0;1;10.2;1;7.1;1;;;;;0;9;2.2;1;;;4.5;1;290;1;1109;9;9.1;1;280;1;1131;9;;;;;;;8.2;9;;;1131;9
 09024004;ASTON;42.724167;1.691000;1781;20230427;0.2;1;6.5;1;431;9;15.9;1;1240;9;11.2;1;11.2;1;9.4;1;;;;;0;9;1.4;1;;;3.8;1;20;1;1342;9;8.1;1;20;1;1344;9;;;;;;;6.9;9;;;1344;9
 09024004;ASTON;42.724167;1.691000;1781;20230428;0.0;1;8.8;1;2131;9;20.3;1;1456;9;16.0;1;14.6;1;11.5;1;;;;;0;9;2.7;1;;;7.3;1;230;1;1039;9;13.6;1;240;1;1438;9;;;;;;;12.1;9;;;1032;9
